TIMESTAMP,TIMER,JOINTTYPE,xPOSITION,yPOSITION,zPOSITION
16:11:23:3781, 00:00:00.4717233, AnkleRight,0.1535084,-0.948828,2.034904
16:11:23:3791, 00:00:00.4728753, FootRight,0.1761765,-0.9938074,1.942968
16:11:23:3811, 00:00:00.4746382, HipCenter,0.1231249,-0.1164377,2.121812
16:11:23:3821, 00:00:00.4756501, Spine,0.1136603,-0.0568465,2.186928
16:11:23:3831, 00:00:00.4767002, ShoulderCenter,0.1513787,0.3199447,2.22986
16:11:23:3841, 00:00:00.4778016, Head,0.2401106,0.5087185,2.248414
16:11:23:3851, 00:00:00.4788754, ShoulderLeft,-0.009649167,0.2171236,2.161208
16:11:23:3861, 00:00:00.4798367, ElbowLeft,-0.1523875,0.01683225,2.11025
16:11:23:3871, 00:00:00.4808838, WristLeft,-0.1752548,-0.1619208,1.904293
16:11:23:3881, 00:00:00.4819342, HandLeft,-0.16226,-0.2254768,1.854313
16:11:23:3891, 00:00:00.4829442, ShoulderRight,0.3233782,0.160157,2.240597
16:11:23:3901, 00:00:00.4839558, ElbowRight,0.3962101,-0.0253308,2.180271
16:11:23:3911, 00:00:00.4849692, WristRight,0.4815222,-0.1426693,2.025497
16:11:23:3921, 00:00:00.4863870, HandRight,0.4801551,-0.1472057,2.023182
16:11:23:3941, 00:00:00.4876557, HipLeft,0.04236881,-0.1797144,2.079896
16:11:23:3951, 00:00:00.4887979, KneeLeft,-0.02591561,-0.5393171,1.955298
16:11:23:3961, 00:00:00.4899661, AnkleLeft,-0.07630789,-0.8779956,1.808632
16:11:23:4006, 00:00:00.4943022, FootLeft,-0.05804382,-0.8969615,1.707801
16:11:23:4021, 00:00:00.4956529, HipRight,0.1934582,-0.2075759,2.12115
16:11:23:4031, 00:00:00.4968385, KneeRight,0.191597,-0.5631786,2.074328
16:11:23:4041, 00:00:00.4978579, AnkleRight,0.1566531,-0.9487224,2.050107
16:11:23:4051, 00:00:00.4988604, FootRight,0.176273,-0.9939069,1.958272
16:11:23:4067, 00:00:00.5004319, HipCenter,0.1254238,-0.1154443,2.138467
16:11:23:4071, 00:00:00.5014793, Spine,0.1184029,-0.05657536,2.204256
16:11:23:4082, 00:00:00.5024403, ShoulderCenter,0.1588832,0.3184922,2.248246
